Variable:,pr
Country:,Thailand
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1997,5.06,18.87,50.75,86.75,119.03,139.73,225.53,278.71,225.71,151.38,52.99,30.42
1998,11.58,21.74,19.65,61.65,175.95,209.55,217.33,284.29,234.99,133.82,104.44,38.00
1999,32.51,24.89,49.29,165.32,276.15,184.21,197.23,237.27,244.16,209.64,108.50,35.31
2000,20.24,32.36,39.48,173.58,240.16,272.16,201.53,279.69,239.08,175.13,45.91,34.66
2001,28.48,7.38,102.80,45.01,230.32,209.74,188.02,275.72,227.22,188.44,50.87,33.28
2002,8.55,6.07,49.44,69.13,225.26,187.53,176.50,312.55,305.70,124.16,105.36,71.48
2003,11.58,22.65,88.93,59.22,152.16,239.35,227.75,243.02,298.96,122.23,38.90,28.18
2004,19.87,38.65,16.16,67.42,198.89,260.22,260.56,208.99,250.13,60.61,38.04,14.90
2005,10.85,3.94,35.28,80.57,155.13,216.61,230.34,223.22,327.74,117.95,111.49,62.52
2006,10.83,24.76,61.64,126.02,238.03,216.26,246.69,262.51,258.97,198.91,37.14,26.65
2007,17.32,10.70,34.96,111.07,297.08,225.16,202.32,233.14,246.85,212.45,46.08,18.57
2008,28.80,31.72,41.42,128.62,211.69,227.25,215.96,220.09,295.18,189.14,94.86,22.43
2009,15.85,5.05,73.89,130.35,240.41,202.71,231.08,260.20,255.34,142.00,54.01,21.57
2010,34.43,10.87,20.79,52.01,119.99,228.43,241.12,349.72,246.50,210.16,61.38,55.59
2011,27.77,15.88,81.54,129.69,228.25,247.67,320.50,339.83,294.79,197.39,62.87,38.52
2012,45.21,16.64,45.56,101.03,199.66,157.85,201.58,203.33,285.99,113.79,119.30,40.83
2013,33.34,17.24,41.58,75.86,149.07,219.18,287.41,284.55,326.76,201.63,85.10,31.35
2014,7.35,2.76,30.99,81.98,155.36,204.64,211.36,298.73,211.73,138.28,77.99,44.77
2015,24.64,16.99,43.45,81.51,90.94,147.21,207.17,264.62,260.17,144.62,86.76,44.75
2016,43.31,8.88,17.16,32.75,182.18,189.21,212.74,230.49,297.03,199.14,129.95,50.38
2017,61.92,15.97,66.31,107.67,314.42,262.92,272.73,285.87,263.59,189.42,76.69,58.50
2018,24.05,25.20,43.55,140.04,189.56,218.88,218.09,260.90,189.90,144.18,56.98,50.41
2019,34.91,17.73,19.94,44.16,166.22,178.41,154.97,276.37,250.61,91.81,49.47,15.24
2020,7.86,9.11,35.20,82.75,123.46,226.49,180.08,287.61,264.02,214.75,61.14,41.93
2021,13.72,20.11,31.84,186.11,114.36,182.10,236.18,221.60,287.57,212.80,94.04,23.30
